no,category,color,도로명전체주소,brand,상세영업상태명,소재지전체주소,영업상태명,openDate,closeDate,latitude,longitude
122,cafe,purple,"인천광역시 연수구 송도과학로27번길 55 (송도동, 롯데캐슬캠퍼스타운301 B104,105호)",팬 브레드(캠퍼스타운 애비뉴점),폐업,"인천광역시 연수구 송도동 149번지 롯데캐슬캠퍼스타운301 B104,105호 ",폐업,20160502,20160504,37.3880544,126.6651321
123,cafe,purple,"인천광역시 연수구 송도국제대로 123 (송도동, 현대프리미엄아울렛 지하2층)",(주)라바짜블루코리아현대송도점,폐업,인천광역시 연수구 송도동 168-1번지 현대프리미엄아울렛 지하2층 ,폐업,20160502,20170602,37.3848777,126.6587343
124,cafe,purple,"인천광역시 연수구 센트럴로 350, 1층 (송도동, 송도세계문화축제 행사장내)",엔제리너스커피,폐업,인천광역시 연수구 송도동 26-1번지 송도세계문화축제 행사장내 ,폐업,20160824,20160906,37.3943277,126.640779
125,cafe,purple,"인천광역시 연수구 송도국제대로 123 (송도동, 현대프리미엄아울렛 지하1층)",디저트카페 유후,영업,인천광역시 연수구 송도동 168-1번지 현대프리미엄아울렛 지하1층 ,운영중,20170405,,37.3848777,126.6587343
126,cafe,purple,"인천광역시 연수구 인천타워대로 323 (송도동, 30-3외 1필지 A동 4-1호)",(주) 휴먼푸드 보다카페,폐업,인천광역시 연수구 송도동 30-3번지 30-3외 1필지 A동 4-1호 ,폐업,20150408,20170728,37.3985217,126.6300919
127,cafe,purple,"인천광역시 연수구 아트센터대로 107 (송도동, 커넬워크 가을동 302동 166호)",청년디저트,영업,인천광역시 연수구 송도동 18-1번지 커넬워크 가을동 302동 166호 ,운영중,20150409,,37.400785,126.637915
128,cafe,purple,"인천광역시 연수구 아트센터대로 107, 302동 지상1층 155호 (송도동, 커낼워크 D3 (AUTUMN))",더착한커피 송도NC큐브점,영업,인천광역시 연수구 송도동 18-1번지 커낼워크 D3 (AUTUMN) 302동 155호,운영중,20150409,,37.400886,126.6386
129,cafe,purple,"인천광역시 연수구 아트센터대로 107, 302동 지상1,2층 149,150,151,217,218호 (송도동, 커낼워크D3(AUTUMN))",탐앤탐스 송도커넬워크점,영업,"인천광역시 연수구 송도동 18-1번지 커낼워크D3 (AUTUMN), 302동 149호,150호,151호,217호,218호 ",운영중,20150424,,37.400886,126.6386
130,cafe,purple,"인천광역시 연수구 컨벤시아대로 116, 지상1층 103호 (송도동, 송도푸르지오월드마크7단지)",빽다방 송도월드마크점,폐업,인천광역시 연수구 송도동 22-21번지 송도푸르지오월ㄹ드마크7단지 103호 ,폐업,20150817,20160712,37.3932555,126.6462388
131,cafe,purple,"인천광역시 연수구 송도국제대로 123 (송도동, 현대프리미엄아울렛 지하1층)",조앤더주스 송도점,영업,인천광역시 연수구 송도동 168-1번지 현대프리미엄아울렛 지하1층 ,운영중,20160422,,37.3848777,126.6587343
132,cafe,purple,"인천광역시 연수구 센트럴로 232 (송도동, 더샵센트럴파크1 E동 181호)",비엔나커피하우스 인천센트럴1점,폐업,인천광역시 연수구 송도동 23-3번지 더샵센트럴파크1 E동 181호 ,폐업,20160405,20160406,37.3968551,126.6376186
133,cafe,purple,"인천광역시 연수구 컨벤시아대로 116, 103호 (송도동, 송도푸르지오월드마크7단지)",빽다방 송도월드마크점,영업,인천광역시 연수구 송도동 22-21번지 송도푸르지오월드마크7단지 103호,운영중,20160712,,37.3932555,126.6462388
134,cafe,purple,"인천광역시 연수구 해송로 70 (송도동, 송도 웰카운티2단지 231동 7호 일부)",카페코닷(cafe codot),영업,인천광역시 연수구 송도동 9-29번지 송도 웰카운티2단지 231동 7호 일부 ,운영중,20161130,,37.38002,126.651567
135,cafe,purple,"인천광역시 연수구 해돋이로 107, H동 1층 (송도동, GS슈퍼내)",마이올,폐업,인천광역시 연수구 송도동 4-1번지 지상 1층 GS슈퍼내 ,폐업,20161123,20171123,37.3910848,126.6480396
136,cafe,purple,"인천광역시 연수구 인천타워대로 지하 155, 지하1층 (송도동, 인천대 입구역 2번출구쪽)",언더블루,영업,인천광역시 연수구 송도동 48번지 지상 1층 인천대 입구역 2번출구쪽 ,운영중,20161123,,37.3797548,126.6440721
137,cafe,purple,"인천광역시 연수구 송도과학로27번길 55, 302동 D-103호 (송도동, 롯데캐슬 캠퍼스타운)",빽다방 송도캠퍼스타운점,영업,인천광역시 연수구 송도동 149번지 롯데캐슬 캠퍼스타운 302동 D-103호,운영중,20161124,,37.3880544,126.6651321
138,cafe,purple,"인천광역시 연수구 아트센터대로 107, D3(AUTUMN)동 153호 (송도동, 커낼워크)",콜라주플러스리아트,영업,인천광역시 연수구 송도동 18-1번지 커낼워크 D3(AUTUMN) 153호 ,운영중,20161212,,37.400886,126.6386
139,cafe,purple,"인천광역시 연수구 센트럴로 123 (송도동, 송도컨벤시아 지상1층 일부)",카페큐,폐업,인천광역시 연수구 송도동 6-1번지 송도컨벤시아 지상1층 일부 ,폐업,20170309,20170313,37.3891199,126.6461628
142,cafe,purple,"인천광역시 연수구 센트럴로 232 (송도동, 센트럴파크1차 E동 161,162,142,143호)",가마빈(Gamabeen),폐업,"인천광역시 연수구 송도동 23-3번지 센트럴파크1차 E동 161,162,142,143호 ",폐업,20151126,20160601,37.3968551,126.6376186
143,cafe,purple,"인천광역시 연수구 센트럴로 123 (송도동, 송도컨벤시아 1층 제1전시장내)",큐,폐업,인천광역시 연수구 송도동 6-1번지 송도컨벤시아 1층 제1전시장내 ,폐업,20160317,20160328,37.3891199,126.6461628
144,cafe,purple,"인천광역시 연수구 송도과학로27번길 55 (송도동, 롯데캐슬캠퍼스타운 302 C-111호)",누리커피,영업,인천광역시 연수구 송도동 149번지 롯데캐슬캠퍼스타운 302 C-111호 ,운영중,20160412,,37.3880544,126.6651321
145,cafe,purple,"인천광역시 연수구 송도과학로27번길 55 (송도동, 롯데캐슬 캠퍼스 타운 D-105호)",생활커피(캠퍼스타운점),영업,인천광역시 연수구 송도동 149번지 롯데캐슬 캠퍼스 타운 D-105호 ,운영중,20160708,,37.3880544,126.6651321
146,cafe,purple,"인천광역시 연수구 첨단대로 80, 에이동 112호 (송도동, 아이에프이제트입주기업근로자기숙사)",하루,영업,인천광역시 연수구 송도동 207-3번지 아이에프이제트입주기업근로자기숙사 에이동 112호 ,운영중,20170207,,37.3671515,126.6538259
147,cafe,purple,"인천광역시 연수구 아트센터대로 107, 301동 125호 (송도동, 커낼워크 D3(AUTUMN))",비앙뜨까페앤쇼룸(BIENTE Cafe&Showroom),영업,인천광역시 연수구 송도동 18-1번지 커낼워크 D3(AUTUMN) 301동 125호 ,운영중,20170224,,37.400886,126.6386
148,cafe,purple,"인천광역시 연수구 센트럴로 194, C동 101,102호 (송도동, 더샵센트럴파크2)",커피휘엘 송도점,영업,"인천광역시 연수구 송도동 23-4번지 더샵센트럴파크2 C동 101,102호 ",운영중,20170228,,37.3946302,126.6407177
149,cafe,purple,"인천광역시 연수구 해돋이로 102, 1층 107호 (송도동, 명인프라자)",공차 인천 송도점,영업,인천광역시 연수구 송도동 3-23번지 명인프라자 107호 ,운영중,20170228,,37.3913707,126.6510564
150,cafe,purple,"인천광역시 연수구 송도문화로28번길 28, 204동 지상1층 130호 (송도동, 글로벌캠퍼스푸르지오)",빽다방 글로벌1호점,영업,인천광역시 연수구 송도동 190-2번지 글로벌캠퍼스푸르지오 204동 130호,운영중,20150728,,37.3772435,126.6546055
151,cafe,purple,"인천광역시 연수구 신송로125번길 13 (송도동, 아크리아1  119호)",쥬시송도점,영업,인천광역시 연수구 송도동 3-6번지 아크리아1  119호 ,운영중,20160122,,37.3944978,126.6511844
152,cafe,purple,"인천광역시 연수구 컨벤시아대로 70 (송도동, 송도힐스테이트 302동 125호)",블랑머랭(Blanc Meringue),영업,인천광역시 연수구 송도동 21-59번지 송도힐스테이트 302동 125호 ,운영중,20160122,,37.399307,126.6514573
153,cafe,purple,"인천광역시 연수구 컨벤시아대로 60, 141호 (송도동, 송도푸르지오 월드마크2단지)",달롤 송도국제도시점,폐업,인천광역시 연수구 송도동 20-23번지 송도푸르지오 월드마크2단지 141호,폐업,20151201,20160726,37.3973377,126.6506942
154,cafe,purple,"인천광역시 연수구 송도국제대로 123 (송도동, 현대프리미엄아울렛 지하1층)",엘카페커피로스터스(송도점),영업,인천광역시 연수구 송도동 168-1번지 현대프리미엄아울렛 지하1층 ,운영중,20160418,,37.3848777,126.6587343
155,cafe,purple,"인천광역시 연수구 송도국제대로 123 (송도동, 현대프리미엄아울렛 지하1층)",공차현대송도점,영업,인천광역시 연수구 송도동 168-1번지 현대프리미엄아울렛 지하1층 ,운영중,20160418,,37.3848777,126.6587343
